factor_id,name,scope,category_path,unit,gas,value_kgco2e_per_unit,geography,publication_year,source,source_version,licence,retrieved_on
desnz.2025.1_100_1002_8_4,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,litres,N2O,0.00054,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_7_1,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Net CV),CO2e,0.20489,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_7_2,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Net CV),CO2,0.20448,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_7_3,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Net CV),CH4,0.00031,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_7_4,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Net CV),N2O,0.0001,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_6_1,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Gross CV),CO2e,0.18494,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_6_2,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Gross CV),CO2,0.18457,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_6_3,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Gross CV),CH4,0.00028,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_6_4,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Gross CV),N2O,9e-05,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_15_1,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,tonnes,CO2e,2939.36095,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_15_2,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,tonnes,CO2,2935.18,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_15_3,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,tonnes,CH4,2.5536,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_15_4,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,tonnes,N2O,1.62735,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_8_1,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,litres,CO2e,1.55713,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_8_2,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,litres,CO2,1.55491,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_8_3,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,litres,CH4,0.00136,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_8_4,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,litres,N2O,0.00086,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_7_1,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Net CV),CO2e,0.23032,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_7_2,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Net CV),CO2,0.22999,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_7_3,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Net CV),CH4,0.0002,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_7_4,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Net CV),N2O,0.00012,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_6_1,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Gross CV),CO2e,0.2145,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_6_2,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Gross CV),CO2,0.21419,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_6_3,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Gross CV),CH4,0.00019,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1003_6_4,Fuels — Gaseous fuels — LPG,1,Fuels / Gaseous fuels / LPG,kWh (Gross CV),N2O,0.00012,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_15_1,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,tonnes,CO2e,2575.46441,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_15_2,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,tonnes,CO2,2570.42,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_15_3,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,tonnes,CH4,3.8528,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_15_4,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,tonnes,N2O,1.19161,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_1_1,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,cubic metres,CO2e,2.06672,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_1_2,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,cubic metres,CO2,2.0627,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_1_3,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,cubic metres,CH4,0.00307,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_1_4,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,cubic metres,N2O,0.00095,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_7_1,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Net CV),CO2e,0.2027,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_7_2,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Net CV),CO2,0.20229,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_7_3,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Net CV),CH4,0.00031,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_7_4,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Net CV),N2O,0.0001,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_6_1,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Gross CV),CO2e,0.18296,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1004_6_2,Fuels — Gaseous fuels — Natural gas,1,Fuels / Gaseous fuels / Natural gas,kWh (Gross CV),CO2,0.18259,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
